time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,q,p1,p2,p3,A0,A1,A2
1588783351.376262,0.52,-0.18,9.62,0.19333333333333333,0.32666666666666666,-0.6266666666666667,-0.25,0.3125,-2.25,323.75,1.625,0.5,0.9503173828125,0.0,-0.015380859375,0.3109130859375,11.963759524704209,9.018399217477993,18.783386191848574
1588783351.3942196,0.11,-0.08,9.56,0.17333333333333334,0.32666666666666666,-0.6266666666666667,-1.75,1.125,-12.4375,323.9375,1.625,0.5625,0.95086669921875,-0.000244140625,-0.0152587890625,0.30926513671875,11.30968355217514,8.982460400612425,19.298746312561445
1588783351.405308,0.11,-0.09,9.69,0.17333333333333334,0.32666666666666666,-0.6266666666666667,-2.75,1.875,-14.8125,324.0625,1.625,0.5625,0.95123291015625,-0.00048828125,-0.01519775390625,0.30810546875,11.963759524704209,8.982460400612425,19.298746312561445
1588783351.414988,0.04,0.01,9.88,0.17333333333333334,0.32666666666666666,-0.6266666666666667,-2.0,1.6875,-16.5,324.25,1.5625,0.5625,0.95166015625,-0.00067138671875,-0.01507568359375,0.3067626953125,11.963759524704209,9.03742155952085,19.000017609200633
1588783351.4260292,0.09,0.09,9.67,0.17333333333333334,0.32666666666666666,-0.6266666666666667,-0.0625,1.0,-17.6875,324.4375,1.5625,0.5625,0.9521484375,-0.00067138671875,-0.01495361328125,0.3052978515625,11.777409759105836,9.03742155952085,19.000017609200633
1588783351.4344366,-0.29,-0.19,9.7,0.16666666666666666,0.31777777777777777,-0.6344444444444445,0.125,1.0625,-18.375,324.5625,1.5625,0.5625,0.95257568359375,-0.00067138671875,-0.014892578125,0.3038330078125,11.777409759105836,8.999450915454341,19.298746312561445
1588783351.4441838,-0.49,-0.37,9.71,0.16666666666666666,0.31777777777777777,-0.6344444444444445,-0.125,0.75,-17.25,324.75,1.5625,0.5625,0.95306396484375,-0.00067138671875,-0.01483154296875,0.30242919921875,12.024937666094175,9.018399217477993,19.298746312561445
1588783351.4500232,-0.49,-0.37,9.71,0.16666666666666666,0.31777777777777777,-0.6344444444444445,-0.125,0.75,-17.25,324.75,1.5625,0.5625,0.95306396484375,-0.00067138671875,-0.01483154296875,0.30242919921875,12.024937666094175,9.018399217477993,18.427579031851216
1588783351.4565194,-0.14,-0.27,9.72,0.16666666666666666,0.31777777777777777,-0.6344444444444445,0.0,0.375,-14.1875,324.875,1.5625,0.5625,0.95343017578125,-0.0006103515625,-0.01483154296875,0.30133056640625,12.024937666094175,9.018399217477993,18.427579031851216
1588783351.4688115,-0.12,-0.06,9.72,0.16666666666666666,0.31777777777777777,-0.6344444444444445,0.4375,0.5,-13.3125,325.0,1.5625,0.5625,0.9537353515625,-0.0006103515625,-0.01483154296875,0.30023193359375,12.057369976310646,9.018399217477993,19.298746312561445
