time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,q,p1,p2,p3,A0,A1,A2
1588870586.7681904,3.25,-1.88,9.06,-0.024444444444444446,0.4955555555555556,-0.7566666666666667,0.1875,0.1875,0.0625,328.6875,19.1875,11.5625,-0.9447021484375,0.0479736328125,0.187744140625,-0.26458740234375,27.340573595297826,33.337121366189926,14.094991620723249
1588870586.7788374,3.26,-1.89,8.96,-0.024444444444444446,0.4955555555555556,-0.7566666666666667,0.0,0.125,0.0,328.6875,19.1875,11.5625,-0.9447021484375,0.0479736328125,0.187744140625,-0.26458740234375,25.760627616834846,42.05642569698551,14.094991620723249
1588870586.7948322,3.25,-1.88,9.01,-0.024444444444444446,0.4955555555555556,-0.7566666666666667,0.0625,0.0625,-0.1875,328.6875,19.1875,11.5625,-0.9447021484375,0.0479736328125,0.187744140625,-0.26458740234375,29.969651553482883,36.1924068182738,14.050310380151236
1588870586.8021517,3.24,-1.87,9.06,-0.024444444444444446,0.4955555555555556,-0.7566666666666667,0.0,0.1875,-0.125,328.6875,19.1875,11.5625,-0.9447021484375,0.0479736328125,0.187744140625,-0.26458740234375,29.969651553482883,36.1924068182738,14.050310380151236
1588870586.8091686,3.24,-1.86,9.09,-0.024444444444444446,0.4888888888888889,-0.73,0.0,0.0625,-0.0625,328.5,19.1875,11.5625,-0.9443359375,0.04766845703125,0.18780517578125,-0.26593017578125,29.969651553482883,36.1924068182738,14.050310380151236
1588870586.8213902,3.26,-1.87,9.01,-0.024444444444444446,0.4888888888888889,-0.73,0.125,-0.0625,0.125,328.5,19.1875,11.5625,-0.9443359375,0.04766845703125,0.18780517578125,-0.26593017578125,26.601907141699197,30.154327094133336,14.010323114733103
1588870586.8339233,3.27,-1.88,8.93,-0.024444444444444446,0.4888888888888889,-0.73,0.0,0.125,-0.1875,328.5,19.1875,11.5625,-0.9443359375,0.04766845703125,0.18780517578125,-0.26593017578125,25.0989107954587,30.895340572783038,14.094991620723249
1588870586.8398814,3.24,-1.88,9.0,-0.024444444444444446,0.4888888888888889,-0.73,-0.0625,-0.0625,0.0,328.5,19.1875,11.5625,-0.9443359375,0.04766845703125,0.18780517578125,-0.26593017578125,25.0989107954587,30.895340572783038,14.094991620723249
1588870586.8525176,3.23,-1.89,9.08,-0.024444444444444446,0.4888888888888889,-0.73,-0.0625,0.0,-0.0625,328.5,19.1875,11.5625,-0.9443359375,0.04766845703125,0.18780517578125,-0.26593017578125,26.74960623211152,41.713108403018175,14.094991620723249
1588870586.858909,3.26,-1.86,9.1,-0.012222222222222223,0.4955555555555556,-0.73,-0.0625,-0.0625,-0.125,328.25,19.1875,11.5625,-0.94378662109375,0.04730224609375,0.18792724609375,-0.26788330078125,26.74960623211152,41.713108403018175,13.878555848458705
