time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_z,ori_y,ori_x,q,p1,p2,p3,A0,A1,A2
1590505130.9612482,0.01,-4.57,8.56,0.5044444444444445,0.2733333333333333,-0.6322222222222222,-0.0625,0.1875,0.625,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.2893893153577334,0.3567681567603077,0.10449701940728089
1590505130.9678042,-0.02,-4.56,8.61,0.5044444444444445,0.2733333333333333,-0.6322222222222222,-0.1875,0.125,0.4375,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.2893893153577334,0.3567681567603077,0.10449701940728089
1590505130.9781115,-0.02,-4.53,8.72,0.5044444444444445,0.2733333333333333,-0.6322222222222222,-0.0625,0.0,0.3125,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.2909449891581246,0.2876789338815911,0.10449701940728089
1590505130.9848454,-0.05,-4.54,8.75,0.49777777777777776,0.2611111111111111,-0.64,0.125,0.0625,0.25,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.2909449891581246,0.2876789338815911,0.1049857750970374
1590505130.9992723,-0.05,-4.55,8.75,0.49777777777777776,0.2611111111111111,-0.64,-0.125,-0.125,0.25,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.3051113371361419,0.3593288242735007,0.10475372767451475
1590505131.0051467,-0.03,-4.53,8.62,0.49777777777777776,0.2611111111111111,-0.64,-0.125,-0.25,0.1875,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.3051113371361419,0.3593288242735007,0.10475372767451475
1590505131.0191636,-0.02,-4.55,8.65,0.49777777777777776,0.2611111111111111,-0.64,-0.125,-0.1875,0.25,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.3051113371361419,0.461304233506186,0.10375917419640128
1590505131.027765,-0.02,-4.54,8.69,0.49777777777777776,0.2611111111111111,-0.64,0.0625,0.0,0.4375,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.3051113371361419,0.461304233506186,0.10375917419640128
1590505131.038574,0.0,-4.57,8.69,0.49,0.26666666666666666,-0.6177777777777778,0.0,0.1875,0.1875,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.31090853643828664,0.33136596019053416,0.10398711587899111
1590505131.0452454,-0.03,-4.54,8.63,0.49,0.26666666666666666,-0.6177777777777778,0.25,0.125,0.0625,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.31090853643828664,0.33136596019053416,0.10398711587899111
1590505131.0559435,-0.05,-4.53,8.58,0.49,0.26666666666666666,-0.6177777777777778,0.0625,0.0625,0.0625,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.3015432709413334,0.3920522731410346,0.10398711587899111
1590505131.0652964,-0.05,-4.54,8.62,0.49,0.26666666666666666,-0.6177777777777778,0.1875,0.1875,-0.1875,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.3015432709413334,0.3920522731410346,0.0959367680857443
1590505131.0781775,-0.03,-4.55,8.65,0.49,0.26666666666666666,-0.6177777777777778,0.125,0.25,0.0,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.3034114163524859,0.29969651553482884,0.1049857750970374
1590505131.0863724,-0.03,-4.53,8.71,0.48333333333333334,0.2788888888888889,-0.6255555555555555,-0.0625,-0.0625,0.25,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.3034114163524859,0.29969651553482884,0.1049857750970374
1590505131.0983574,0.0,-4.55,8.77,0.48333333333333334,0.2788888888888889,-0.6255555555555555,-0.0625,-0.0625,0.25,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.2472206304085751,0.34469892955945086,0.09659586408519731
1590505131.1065981,-0.01,-4.54,8.67,0.48333333333333334,0.2788888888888889,-0.6255555555555555,0.25,0.0625,0.0,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.2472206304085751,0.34469892955945086,0.09659586408519731
1590505131.118596,-0.05,-4.54,8.66,0.48333333333333334,0.2788888888888889,-0.6255555555555555,0.1875,0.1875,-0.0625,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.25365119527561103,0.30702113579835705,0.10449701940728089
1590505131.1331294,-0.04,-4.54,8.7,0.48333333333333334,0.2788888888888889,-0.6255555555555555,0.1875,0.3125,0.0625,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.27496052092173096,0.34469892955945086,0.09834977671531084
1590505131.1395226,-0.03,-4.52,8.68,0.5166666666666667,0.2733333333333333,-0.6266666666666667,0.3125,0.1875,-0.125,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.27496052092173096,0.34469892955945086,0.09834977671531084
1590505131.1501713,-0.03,-4.55,8.72,0.5166666666666667,0.2733333333333333,-0.6266666666666667,0.125,0.375,0.0,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.27637402339506756,0.250989107954587,0.10325596705605221
1590505131.156391,0.02,-4.55,8.58,0.5166666666666667,0.2733333333333333,-0.6266666666666667,0.1875,0.1875,0.125,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.27637402339506756,0.250989107954587,0.10325596705605221
1590505131.1702676,-0.01,-4.56,8.64,0.5166666666666667,0.2733333333333333,-0.6266666666666667,0.1875,0.375,-0.125,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.17352294921875,0.71759033203125,0.34953162930465587,0.33562603819066317,0.1062661894949227
1590505131.179042,-0.02,-4.54,8.67,0.5166666666666667,0.2733333333333333,-0.6266666666666667,0.625,0.75,-0.0625,264.75,-0.125,27.25,0.65521240234375,-0.1600341796875,-0.1734619140625,0.71759033203125,0.34953162930465587,0.33562603819066317,0.1062661894949227
1590505131.189913,-0.02,-4.57,8.79,0.5166666666666667,0.26666666666666666,-0.6266666666666667,1.1875,1.1875,0.0625,264.75,-0.125,27.25,0.6552734375,-0.1600341796875,-0.17333984375,0.71759033203125,0.35199575785121906,0.29445862267704453,0.10350699892089944
