time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589380496.3560965,-0.14,-4.1,8.78,0.5111111111111111,0.23777777777777775,-0.8011111111111111,-0.125,-0.125,0.125
1589380496.3743818,-0.16,-4.09,8.87,0.5111111111111111,0.23777777777777775,-0.8011111111111111,-0.125,-0.375,0.0
1589380496.3813426,-0.13,-4.1,8.9,0.5111111111111111,0.21333333333333332,-0.7866666666666666,-0.0625,-0.5625,0.0625
1589380496.39159,-0.15,-4.11,8.88,0.5111111111111111,0.21333333333333332,-0.7866666666666666,-0.0625,-0.3125,-0.0625
1589380496.401502,-0.13,-4.1,8.81,0.5111111111111111,0.21333333333333332,-0.7866666666666666,-0.0625,0.0,-0.0625
1589380496.4123886,-0.12,-4.09,8.82,0.5111111111111111,0.21333333333333332,-0.7866666666666666,-0.0625,0.25,-0.125
1589380496.4245875,-0.13,-4.11,8.84,0.5111111111111111,0.21333333333333332,-0.7866666666666666,-0.125,0.5,0.125
1589380496.4367995,-0.17,-4.1,8.88,0.5188888888888888,0.22333333333333333,-0.78,-0.0625,0.4375,0.25
1589380496.442793,-0.18,-4.11,8.83,0.5188888888888888,0.22333333333333333,-0.78,-0.0625,0.25,-0.125
1589380496.4561648,-0.16,-4.1,8.75,0.5188888888888888,0.22333333333333333,-0.78,-0.125,0.1875,0.125
1589380496.462262,-0.15,-4.1,8.79,0.5188888888888888,0.22333333333333333,-0.78,-0.125,-0.125,-0.0625
1589380496.4745991,-0.13,-4.08,8.84,0.5188888888888888,0.22333333333333333,-0.78,-0.125,-0.1875,-0.0625
1589380496.4818492,-0.12,-4.07,8.89,0.5333333333333333,0.20555555555555555,-0.7866666666666666,-0.0625,-0.25,0.0625
1589380496.4928033,-0.12,-4.09,8.91,0.5333333333333333,0.20555555555555555,-0.7866666666666666,0.125,0.0,0.125
1589380496.5026696,-0.15,-4.1,8.81,0.5333333333333333,0.20555555555555555,-0.7866666666666666,-0.1875,-0.0625,0.3125
1589380496.5155606,-0.16,-4.11,8.84,0.5333333333333333,0.20555555555555555,-0.7866666666666666,-0.125,0.0,0.3125
1589380496.5248086,-0.16,-4.12,8.84,0.5333333333333333,0.20555555555555555,-0.7866666666666666,-0.125,0.0625,0.25
1589380496.5355768,-0.16,-4.12,8.87,0.5066666666666667,0.21777777777777774,-0.7866666666666666,0.125,0.1875,0.3125
1589380496.542793,-0.17,-4.1,8.86,0.5066666666666667,0.21777777777777774,-0.7866666666666666,0.0625,0.0625,0.375
1589380496.5524714,-0.15,-4.11,8.74,0.5066666666666667,0.21777777777777774,-0.7866666666666666,0.0,0.0625,0.3125
1589380496.5626194,-0.13,-4.11,8.8,0.5066666666666667,0.21777777777777774,-0.7866666666666666,-0.1875,0.0625,0.375
1589380496.5748775,-0.13,-4.1,8.85,0.5066666666666667,0.21777777777777774,-0.7866666666666666,-0.1875,-0.1875,0.375
1589380496.5849395,-0.14,-4.09,8.87,0.5188888888888888,0.22333333333333333,-0.7866666666666666,0.0,-0.0625,0.375
