time,pos_x,pos_y,pos_z,q,p1,p2,p3
1589541118.376118,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.3867464,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.3962164,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4113116,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4173973,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4257605,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4358327,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4496505,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4579196,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4693778,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4753866,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4882245,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.4959214,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.5090795,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.515766,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.5262244,-0.0,17.756298008165473,54.0,0.5965576171875,-0.1561279296875,-0.14691162109375,0.7734375
1589541118.5354555,-0.0,17.756298008165473,54.0,0.5965576171875,-0.15618896484375,-0.14697265625,0.77337646484375
1589541118.546798,-0.0,17.756298008165473,54.0,0.59649658203125,-0.1561279296875,-0.1470947265625,0.77337646484375
1589541118.561633,-0.0,17.756298008165473,54.0,0.59649658203125,-0.1561279296875,-0.1470947265625,0.77337646484375
1589541118.5688016,-0.0,17.756298008165473,54.0,0.59649658203125,-0.1561279296875,-0.1470947265625,0.77337646484375
1589541118.5754259,-0.0,17.756298008165473,54.0,0.59649658203125,-0.1561279296875,-0.1470947265625,0.77337646484375
1589541118.586585,-0.0,17.756298008165473,54.0,0.59649658203125,-0.1561279296875,-0.1470947265625,0.77337646484375
1589541118.5971715,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15618896484375,-0.14715576171875,0.77337646484375
1589541118.6081054,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15618896484375,-0.14715576171875,0.77337646484375
1589541118.6207132,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15618896484375,-0.147216796875,0.77337646484375
1589541118.6273813,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15618896484375,-0.147216796875,0.77337646484375
1589541118.6407945,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15618896484375,-0.147216796875,0.77337646484375
1589541118.64686,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15625,-0.14715576171875,0.77337646484375
1589541118.659644,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.6656275,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.6793008,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.686524,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.6986892,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.7133768,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.719532,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.7262342,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.737991,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.7465534,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.7597213,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.7708595,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.7769244,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.7919989,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15631103515625,-0.14715576171875,0.77337646484375
1589541118.7981474,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15625,-0.14715576171875,0.77337646484375
1589541118.8103995,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15625,-0.14715576171875,0.77337646484375
1589541118.8165185,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15625,-0.14715576171875,0.77337646484375
1589541118.8304582,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15625,-0.14715576171875,0.77337646484375
1589541118.8366795,-0.0,17.756298008165473,54.0,0.59649658203125,-0.15625,-0.14715576171875,0.77337646484375
