time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_z,ori_y,ori_x,q,p1,p2,p3,A0,A1,A2
1589552553.3976347,-0.26,-4.27,8.73,0.48,0.3022222222222222,-0.5555555555555556,-4.125,-2.0625,-3.5,258.6875,-2.125,25.75,0.6180419921875,-0.15643310546875,-0.16015625,0.75360107421875,29.445862267704456,47.78809308314024,13.075576177870197
1589552553.408084,-0.26,-4.26,8.79,0.48,0.3022222222222222,-0.5555555555555556,6.0,-1.4375,-5.0,258.75,-2.125,25.6875,0.618408203125,-0.15594482421875,-0.159912109375,0.75341796875,29.445862267704456,47.78809308314024,11.827294996026913
1589552553.419748,-0.27,-4.24,8.83,0.48,0.3022222222222222,-0.5555555555555556,-5.125,0.1875,5.25,258.6875,-2.125,25.75,0.6180419921875,-0.15625,-0.16021728515625,0.75360107421875,28.767893388159113,43.81793078164114,13.075576177870197
1589552553.4263582,-0.27,-4.25,8.83,0.4922222222222222,0.3088888888888889,-0.5511111111111111,-5.25,-3.6875,3.875,258.625,-2.125,25.8125,0.61767578125,-0.1563720703125,-0.16070556640625,0.7537841796875,28.767893388159113,43.81793078164114,13.075576177870197
1589552553.4382725,-0.26,-4.24,8.82,0.4922222222222222,0.3088888888888889,-0.5511111111111111,-0.375,3.5625,1.125,258.625,-2.125,25.8125,0.61767578125,-0.1566162109375,-0.16046142578125,0.7537841796875,34.95316293046559,30.702113579835704,11.921617398410705
1589552553.4534125,-0.28,-4.26,8.75,0.4922222222222222,0.3088888888888889,-0.5511111111111111,-1.375,3.5625,2.25,258.625,-2.1875,25.8125,0.6175537109375,-0.15692138671875,-0.16033935546875,0.75384521484375,34.95316293046559,30.154327094133336,13.075576177870197
1589552553.4602108,-0.27,-4.26,8.82,0.4922222222222222,0.3088888888888889,-0.5511111111111111,-3.625,3.3125,4.125,258.5625,-2.25,25.875,0.61724853515625,-0.1573486328125,-0.160400390625,0.75396728515625,34.95316293046559,30.154327094133336,13.075576177870197
1589552553.474761,-0.29,-4.25,8.84,0.4922222222222222,0.3088888888888889,-0.5511111111111111,5.5,1.5625,-8.3125,258.6875,-2.1875,25.8125,0.617919921875,-0.15704345703125,-0.1600341796875,0.75360107421875,34.23291589006934,30.702113579835704,12.020682907049334
1589552553.4813633,-0.27,-4.26,8.88,0.46555555555555556,0.29444444444444445,-0.5788888888888889,-5.125,-2.4375,-6.25,258.75,-2.125,25.875,0.61822509765625,-0.15704345703125,-0.16058349609375,0.75323486328125,34.23291589006934,30.702113579835704,12.020682907049334
1589552553.4926481,-0.28,-4.23,8.8,0.46555555555555556,0.29444444444444445,-0.5788888888888889,1.375,-1.9375,4.5,258.6875,-2.125,25.8125,0.617919921875,-0.15692138671875,-0.16058349609375,0.7535400390625,33.79095440748334,45.321431320689676,12.998116284250113
1589552553.4985824,-0.28,-4.26,8.76,0.46555555555555556,0.29444444444444445,-0.5788888888888889,5.375,1.9375,2.125,258.6875,-2.1875,25.75,0.61785888671875,-0.15673828125,-0.16009521484375,0.753662109375,33.79095440748334,45.321431320689676,12.998116284250113
1589552553.5123956,-0.25,-4.26,8.78,0.46555555555555556,0.29444444444444445,-0.5788888888888889,2.125,-3.5625,-8.9375,258.75,-2.125,25.75,0.618408203125,-0.15631103515625,-0.1602783203125,0.7532958984375,33.56260381906632,39.20522731410346,11.000593764722055
1589552553.5202856,-0.27,-4.27,8.8,0.46555555555555556,0.29444444444444445,-0.5788888888888889,-0.75,4.8125,-8.8125,258.8125,-2.125,25.75,0.6190185546875,-0.156494140625,-0.16021728515625,0.75274658203125,33.56260381906632,39.20522731410346,11.000593764722055
1589552553.5321805,-0.28,-4.27,8.82,0.48,0.29444444444444445,-0.5722222222222222,-5.875,3.8125,-3.25,258.875,-2.125,25.8125,0.61920166015625,-0.15704345703125,-0.160400390625,0.75244140625,32.48417572103921,38.90400161097513,12.11791944850637
1589552553.5380142,-0.27,-4.25,8.83,0.48,0.29444444444444445,-0.5722222222222222,5.25,-1.0625,-1.875,258.875,-2.125,25.75,0.619384765625,-0.15667724609375,-0.16015625,0.75244140625,32.48417572103921,38.90400161097513,12.11791944850637
1589552553.5507538,-0.27,-4.26,8.71,0.48,0.29444444444444445,-0.5722222222222222,-4.5,1.3125,4.75,258.875,-2.125,25.8125,0.61907958984375,-0.15704345703125,-0.16033935546875,0.75262451171875,33.337121366189926,42.75914443905159,12.320352300403808
1589552553.5585506,-0.28,-4.25,8.8,0.48,0.29444444444444445,-0.5722222222222222,-8.9375,-3.3125,-5.25,258.875,-2.0625,25.9375,0.61920166015625,-0.1572265625,-0.1611328125,0.75225830078125,33.337121366189926,42.75914443905159,12.320352300403808
1589552553.5700965,-0.27,-4.27,8.84,0.48,0.29444444444444445,-0.5722222222222222,-5.5,2.4375,6.375,258.8125,-2.125,25.9375,0.6187744140625,-0.15777587890625,-0.1612548828125,0.75250244140625,32.48417572103921,42.75914443905159,12.320352300403808
1589552553.5780876,-0.26,-4.28,8.86,0.46555555555555556,0.29444444444444445,-0.5644444444444444,2.25,-4.8125,0.5,258.8125,-2.125,25.9375,0.61871337890625,-0.1573486328125,-0.161376953125,0.7525634765625,32.48417572103921,42.75914443905159,13.114630550657921
1589552553.588527,-0.26,-4.26,8.86,0.46555555555555556,0.29444444444444445,-0.5644444444444444,1.375,2.9375,5.375,258.75,-2.125,25.9375,0.61846923828125,-0.15753173828125,-0.16107177734375,0.7528076171875,34.23291589006934,41.408574428279465,13.114630550657921
1589552553.5981069,-0.27,-4.25,8.74,0.46555555555555556,0.29444444444444445,-0.5644444444444444,-1.0,0.0625,-2.75,258.8125,-2.125,25.9375,0.61859130859375,-0.15753173828125,-0.1611328125,0.752685546875,34.23291589006934,41.408574428279465,12.92532014968994
1589552553.609842,-0.27,-4.24,8.8,0.46555555555555556,0.29444444444444445,-0.5644444444444444,3.375,-1.8125,-6.125,258.875,-2.0625,25.875,0.6190185546875,-0.15716552734375,-0.1611328125,0.75244140625,32.69896237620402,41.408574428279465,12.92532014968994
1589552553.6247046,-0.28,-4.25,8.83,0.46555555555555556,0.29444444444444445,-0.5644444444444444,-4.375,2.5625,-4.625,258.9375,-2.0625,25.9375,0.61932373046875,-0.157470703125,-0.16131591796875,0.7520751953125,34.0222269008831,43.44734393227604,12.92532014968994
1589552553.6309705,-0.27,-4.24,8.84,0.4922222222222222,0.29444444444444445,-0.5644444444444444,-2.375,-0.1875,4.75,258.875,-2.125,26.0,0.61895751953125,-0.15771484375,-0.16143798828125,0.7523193359375,34.0222269008831,43.44734393227604,12.959707262420407
1589552553.638843,-0.25,-4.26,8.8,0.4922222222222222,0.29444444444444445,-0.5644444444444444,-2.125,-3.9375,-9.8125,258.9375,-2.0625,26.0,0.6195068359375,-0.15740966796875,-0.161865234375,0.7518310546875,34.0222269008831,43.44734393227604,12.959707262420407
1589552553.6504884,-0.26,-4.26,8.68,0.4922222222222222,0.29444444444444445,-0.5644444444444444,1.625,1.4375,-7.3125,259.0,-2.0,26.0,0.6199951171875,-0.1573486328125,-0.16180419921875,0.75140380859375,27.496052092173098,44.194471376482085,13.22913115063521
1589552553.663018,-0.26,-4.27,8.76,0.4922222222222222,0.29444444444444445,-0.5644444444444444,3.25,-0.6875,-3.875,259.0625,-2.0,25.9375,0.62030029296875,-0.15704345703125,-0.16168212890625,0.75128173828125,36.69527695670728,47.78809308314024,11.3698868948505
1589552553.671144,-0.27,-4.26,8.82,0.4922222222222222,0.29444444444444445,-0.5644444444444444,-3.875,-7.375,3.375,259.0,-1.9375,26.0,0.61993408203125,-0.1568603515625,-0.16229248046875,0.75152587890625,36.69527695670728,47.78809308314024,11.3698868948505
1589552553.6831582,-0.27,-4.24,8.86,0.48444444444444446,0.31555555555555553,-0.5644444444444444,-3.875,-0.1875,2.375,259.0,-1.9375,26.0,0.6197509765625,-0.15704345703125,-0.1624755859375,0.7515869140625,30.154327094133336,43.81793078164114,13.075576177870197
1589552553.6895902,-0.27,-4.24,8.86,0.48444444444444446,0.31555555555555553,-0.5644444444444444,8.0625,6.4375,-5.375,259.0625,-2.0,25.9375,0.6202392578125,-0.156982421875,-0.1617431640625,0.7513427734375,30.154327094133336,43.81793078164114,13.075576177870197
1589552553.7019005,-0.26,-4.27,8.76,0.48444444444444446,0.31555555555555553,-0.5644444444444444,2.25,1.3125,-11.0625,259.1875,-1.9375,25.9375,0.62103271484375,-0.15679931640625,-0.16162109375,0.750732421875,36.42899190747107,53.500839207166806,12.92532014968994
1589552553.7089515,-0.24,-4.27,8.82,0.48444444444444446,0.31555555555555553,-0.5644444444444444,-3.5,-6.6875,3.875,259.125,-1.9375,25.9375,0.62060546875,-0.1566162109375,-0.16217041015625,0.7509765625,36.42899190747107,53.500839207166806,12.92532014968994
1589552553.7216208,-0.26,-4.25,8.86,0.48444444444444446,0.31555555555555553,-0.5644444444444444,-0.25,-2.6875,-3.5,259.125,-1.875,25.9375,0.620849609375,-0.1563720703125,-0.162353515625,0.7508544921875,28.11853495413832,46.1304233506186,13.036738675694924
1589552553.7288556,-0.23,-4.2,8.84,0.48444444444444446,0.29444444444444445,-0.5555555555555556,-3.125,3.9375,-6.25,259.1875,-1.875,26.0,0.6212158203125,-0.15673828125,-0.16241455078125,0.75042724609375,28.11853495413832,46.1304233506186,13.036738675694924
1589552553.739514,-0.21,-4.18,8.79,0.48444444444444446,0.29444444444444445,-0.5555555555555556,1.0,2.5625,-3.625,259.25,-1.875,26.0,0.62152099609375,-0.15679931640625,-0.16229248046875,0.75018310546875,27.95642795680213,46.1304233506186,13.036738675694924
1589552553.7491865,-0.24,-4.22,8.75,0.48444444444444446,0.29444444444444445,-0.5555555555555556,-2.75,0.8125,-8.0625,259.3125,-1.875,26.0,0.62200927734375,-0.1568603515625,-0.16253662109375,0.749755859375,27.95642795680213,44.57710691193347,12.849511873515432
