time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_z,ori_y,ori_x,q,p1,p2,p3,A0,A1,A2
1590512643.377255,-3.69,-0.75,8.96,0.29777777777777775,-0.3466666666666667,-0.6644444444444444,0.6875,-0.8125,0.0,184.9375,-21.75,5.5,0.0426025390625,-0.19110107421875,-0.03753662109375,0.97991943359375,0.31090853643828664,0.4457710691193347,0.13269048495371716
1590512643.3829546,-3.69,-0.74,8.96,0.2644444444444444,-0.3466666666666667,-0.6622222222222223,0.75,-1.0625,0.0625,184.9375,-21.75,5.5,0.0426025390625,-0.1910400390625,-0.0374755859375,0.97991943359375,0.31090853643828664,0.4457710691193347,0.13269048495371716
1590512643.3895602,-3.66,-0.73,8.92,0.2644444444444444,-0.3466666666666667,-0.6622222222222223,0.625,-1.875,-0.0625,184.9375,-21.75,5.5,0.0426025390625,-0.19091796875,-0.037353515625,0.97998046875,0.3269896237620402,0.4457710691193347,0.13269048495371716
1590512643.3994145,-3.62,-0.72,8.86,0.2644444444444444,-0.3466666666666667,-0.6622222222222223,0.5,-1.875,0.0,184.9375,-21.75,5.5,0.0426025390625,-0.19073486328125,-0.037353515625,0.97998046875,0.3269896237620402,0.41408574428279465,0.13546571420196252
1590512643.4133887,-3.63,-0.72,8.9,0.2644444444444444,-0.3466666666666667,-0.6622222222222223,0.25,-1.5,-0.0625,184.9375,-21.6875,5.5,0.04254150390625,-0.190673828125,-0.037353515625,0.98004150390625,0.316711414149526,0.4381793078164114,0.1371068530957331
1590512643.422518,-3.62,-0.74,8.97,0.2644444444444444,-0.3466666666666667,-0.6622222222222223,0.0,-0.625,0.125,184.9375,-21.6875,5.5,0.04254150390625,-0.19061279296875,-0.03729248046875,0.98004150390625,0.316711414149526,0.4381793078164114,0.1371068530957331
1590512643.4338102,-3.65,-0.75,9.06,0.2788888888888889,-0.3411111111111111,-0.67,-0.4375,0.375,0.0625,184.9375,-21.6875,5.5,0.04254150390625,-0.19061279296875,-0.03729248046875,0.98004150390625,0.2718673071164087,0.461304233506186,0.14927195940653742
1590512643.4398725,-3.67,-0.74,9.06,0.2788888888888889,-0.3411111111111111,-0.67,-0.5,1.0,0.0,184.9375,-21.75,5.5,0.04254150390625,-0.190673828125,-0.0372314453125,0.98004150390625,0.2718673071164087,0.461304233506186,0.14927195940653742
1590512643.4495823,-3.66,-0.74,8.99,0.2788888888888889,-0.3411111111111111,-0.67,-0.4375,1.0,0.125,184.9375,-21.75,5.5,0.04254150390625,-0.1907958984375,-0.0372314453125,0.97998046875,0.3248417572103921,0.47352537593952493,0.14927195940653742
1590512643.4597669,-3.67,-0.74,9.02,0.2788888888888889,-0.3411111111111111,-0.67,-0.1875,0.6875,0.0625,184.9375,-21.75,5.5,0.04254150390625,-0.19085693359375,-0.03717041015625,0.97998046875,0.3248417572103921,0.47352537593952493,0.1532603135358787
