time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589542490.0670366,-0.46,-4.02,8.81,0.4777777777777778,0.2933333333333333,-0.6466666666666666,0.5625,0.8125,-0.4375
1589542490.0779786,-0.46,-4.01,8.78,0.4777777777777778,0.2933333333333333,-0.6466666666666666,0.4375,0.25,-0.375
1589542490.0873034,-0.42,-3.98,8.88,0.4777777777777778,0.2933333333333333,-0.6466666666666666,0.4375,0.25,-0.1875
1589542490.0996304,-0.43,-3.96,8.9,0.4777777777777778,0.2933333333333333,-0.6466666666666666,0.6875,0.625,-0.0625
1589542490.1079535,-0.41,-3.95,8.93,0.4777777777777778,0.2855555555555556,-0.6311111111111111,0.5,0.4375,0.0625
1589542490.1196518,-0.47,-3.93,8.77,0.4777777777777778,0.2855555555555556,-0.6311111111111111,0.4375,0.5,0.0
1589542490.128383,-0.46,-3.93,8.72,0.4777777777777778,0.2855555555555556,-0.6311111111111111,-0.0625,-0.125,0.0
1589542490.1385653,-0.41,-3.99,8.82,0.4777777777777778,0.2855555555555556,-0.6311111111111111,-1.0625,-0.875,0.0
1589542490.1498306,-0.43,-3.95,8.83,0.4777777777777778,0.2855555555555556,-0.6311111111111111,-1.25,-0.9375,0.0
1589542490.1574314,-0.39,-3.96,8.85,0.4633333333333333,0.2855555555555556,-0.6311111111111111,-1.375,-1.375,-0.0625
1589542490.171717,-0.36,-3.94,8.86,0.4633333333333333,0.2855555555555556,-0.6311111111111111,-1.4375,-1.875,-0.25
1589542490.1774929,-0.38,-3.92,8.76,0.4633333333333333,0.2855555555555556,-0.6311111111111111,-0.9375,-1.0,-0.8125
1589542490.1878862,-0.36,-3.94,8.8,0.4633333333333333,0.2855555555555556,-0.6311111111111111,-0.3125,-0.375,-1.25
1589542490.199459,-0.43,-3.95,8.82,0.4633333333333333,0.2855555555555556,-0.6311111111111111,0.4375,0.375,-1.5625
1589542490.2106824,-0.41,-3.94,8.85,0.49,0.3,-0.6311111111111111,0.375,0.375,-1.8125
1589542490.2173214,-0.42,-3.92,8.88,0.49,0.3,-0.6311111111111111,0.125,0.0,-1.6875
1589542490.229989,-0.43,-3.93,8.81,0.49,0.3,-0.6311111111111111,-0.625,-0.5625,-1.8125
1589542490.237606,-0.41,-3.88,8.95,0.49,0.3,-0.6311111111111111,-1.5625,-1.3125,-2.0
1589542490.2496276,-0.42,-3.8,8.97,0.49,0.3,-0.6311111111111111,-1.5,-1.4375,-1.875
1589542490.2573135,-0.43,-3.79,8.91,0.4777777777777778,0.2933333333333333,-0.64,-1.1875,-1.0,-1.4375
1589542490.2672508,-0.8,-3.39,8.68,0.4777777777777778,0.2933333333333333,-0.64,-0.6875,-0.625,-1.125
1589542490.2728598,-0.8,-3.39,8.68,0.4777777777777778,0.2933333333333333,-0.64,-0.6875,-0.625,-1.125
1589542490.2843792,-0.66,-3.57,8.87,0.4777777777777778,0.2933333333333333,-0.64,-0.75,-0.625,0.0625
