time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589543185.2991073,0.17,-4.35,8.74,0.4933333333333334,0.3655555555555556,-0.6577777777777778,-0.25,-0.625,0.0
1589543185.3063867,0.18,-4.34,8.75,0.4933333333333334,0.3655555555555556,-0.6577777777777778,-0.3125,-0.5,0.0
1589543185.318368,0.2,-4.34,8.67,0.4933333333333334,0.3655555555555556,-0.6577777777777778,-0.3125,-0.75,-0.125
1589543185.3271532,0.19,-4.34,8.68,0.4933333333333334,0.3655555555555556,-0.6577777777777778,-0.1875,-1.0,-0.0625
1589543185.3386517,0.2,-4.33,8.75,0.4933333333333334,0.3655555555555556,-0.6577777777777778,-0.1875,-0.875,-0.0625
1589543185.3505723,0.21,-4.34,8.79,0.4888888888888889,0.3588888888888889,-0.6433333333333333,-0.25,-0.875,-0.1875
1589543185.3569038,0.22,-4.29,8.77,0.4888888888888889,0.3588888888888889,-0.6433333333333333,-0.375,-0.6875,-0.0625
1589543185.3706481,0.23,-4.29,8.69,0.4888888888888889,0.3588888888888889,-0.6433333333333333,-0.25,-0.75,-0.3125
1589543185.377391,0.22,-4.19,8.76,0.4888888888888889,0.3588888888888889,-0.6433333333333333,-0.25,-0.5625,-0.5625
1589543185.3885474,0.22,-4.22,8.8,0.4888888888888889,0.3588888888888889,-0.6433333333333333,-0.1875,-0.3125,-1.125
1589543185.3966026,0.23,-4.22,8.82,0.5077777777777778,0.3466666666666667,-0.6355555555555555,-0.375,-0.0625,-1.8125
1589543185.4071426,0.21,-4.24,8.79,0.5077777777777778,0.3466666666666667,-0.6355555555555555,-0.375,-0.0625,-1.8125
1589543185.4168415,0.22,-4.32,8.66,0.5077777777777778,0.3466666666666667,-0.6355555555555555,-0.1875,0.375,-2.25
1589543185.42711,0.22,-4.33,8.71,0.5077777777777778,0.3466666666666667,-0.6355555555555555,-0.0625,0.375,-2.125
1589543185.4394002,0.24,-4.32,8.73,0.5077777777777778,0.3466666666666667,-0.6355555555555555,0.125,0.3125,-2.0
1589543185.447225,0.22,-4.29,8.75,0.52,0.3588888888888889,-0.6577777777777778,0.1875,0.25,-2.0
1589543185.4561515,0.23,-4.26,8.74,0.52,0.3588888888888889,-0.6577777777777778,0.0,0.1875,-1.875
1589543185.4677956,0.22,-4.26,8.67,0.52,0.3588888888888889,-0.6577777777777778,-0.125,0.0,-2.25
1589543185.4778454,0.25,-4.25,8.75,0.52,0.3588888888888889,-0.6577777777777778,-0.125,0.125,-2.3125
1589543185.488333,0.15,-4.38,8.78,0.52,0.3588888888888889,-0.6577777777777778,-0.125,0.3125,-2.5
1589543185.4960792,0.12,-4.38,8.83,0.4933333333333334,0.3466666666666667,-0.6222222222222222,0.0,0.25,-2.25
1589543185.5075972,0.16,-4.37,8.77,0.4933333333333334,0.3466666666666667,-0.6222222222222222,0.0,0.375,-1.125
1589543185.5216427,0.18,-4.29,8.67,0.4933333333333334,0.3466666666666667,-0.6222222222222222,-0.0625,-0.25,-0.5625
1589543185.5277581,0.14,-4.25,8.74,0.4933333333333334,0.3466666666666667,-0.6222222222222222,-0.3125,-0.5625,-0.375
1589543185.5426753,0.15,-4.19,8.76,0.4933333333333334,0.3466666666666667,-0.6222222222222222,-0.4375,-0.6875,-0.125
1589543185.5485294,0.09,-4.19,8.74,0.4933333333333334,0.3588888888888889,-0.6355555555555555,-0.375,-0.625,-0.0625
1589543185.5594184,0.17,-4.08,8.76,0.4933333333333334,0.3588888888888889,-0.6355555555555555,-0.5625,-0.625,-0.6875
1589543185.5670154,0.18,-4.18,8.72,0.4933333333333334,0.3588888888888889,-0.6355555555555555,-0.4375,-0.1875,-2.0
1589543185.5813775,0.16,-4.26,8.7,0.4933333333333334,0.3588888888888889,-0.6355555555555555,-0.0625,0.25,-2.6875
1589543185.592351,0.21,-4.31,8.75,0.4933333333333334,0.3588888888888889,-0.6355555555555555,0.0625,0.25,-2.75
1589543185.600899,-0.24,-4.22,8.69,0.5077777777777778,0.3588888888888889,-0.6288888888888889,-0.3125,-0.1875,-2.75
1589543185.6078613,0.11,-4.26,9.03,0.5077777777777778,0.3588888888888889,-0.6288888888888889,-0.6875,-0.6875,-0.875
1589543185.6175165,0.15,-4.2,8.64,0.5077777777777778,0.3588888888888889,-0.6288888888888889,0.3125,1.0,1.125
