time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589551780.3299162,-0.08,-4.14,9.02,0.5011111111111111,0.2733333333333333,-0.6555555555555556,0.0,0.0,-0.1875
1589551780.3355162,-0.09,-4.14,9.08,0.48,0.2733333333333333,-0.6488888888888888,0.0,-0.0625,-0.1875
1589551780.3458786,-0.09,-4.13,9.06,0.48,0.2733333333333333,-0.6488888888888888,0.0625,0.0,-0.125
1589551780.3520505,-0.09,-4.12,8.93,0.48,0.2733333333333333,-0.6488888888888888,0.0625,-0.125,-0.0625
1589551780.3657546,-0.08,-4.14,9.01,0.48,0.2733333333333333,-0.6488888888888888,-0.0625,-0.1875,0.0
1589551780.3736231,-0.09,-4.11,9.02,0.48,0.2733333333333333,-0.6488888888888888,-0.0625,0.0,0.0
1589551780.3848028,-0.11,-4.12,9.02,0.48,0.28,-0.6411111111111111,-0.125,-0.125,0.0625
1589551780.3916118,-0.09,-4.13,9.03,0.48,0.28,-0.6411111111111111,0.0625,0.0,0.1875
1589551780.4051135,-0.08,-4.13,8.93,0.48,0.28,-0.6411111111111111,0.0,0.0,0.25
1589551780.4117262,-0.05,-4.16,9.01,0.48,0.28,-0.6411111111111111,0.125,-0.25,0.25
1589551780.4264436,-0.08,-4.15,9.03,0.48,0.28,-0.6411111111111111,0.0,-0.0625,0.125
1589551780.4329267,-0.07,-4.13,9.05,0.4866666666666667,0.2877777777777778,-0.6555555555555556,0.125,0.0,0.125
1589551780.4436994,-0.06,-4.14,9.06,0.4866666666666667,0.2877777777777778,-0.6555555555555556,-0.0625,0.0,0.0625
1589551780.4519892,-0.1,-4.15,8.97,0.4866666666666667,0.2877777777777778,-0.6555555555555556,-0.25,-0.125,0.0
1589551780.4615948,-0.1,-4.13,8.99,0.4866666666666667,0.2877777777777778,-0.6555555555555556,0.0,-0.25,-0.0625
1589551780.4754314,-0.07,-4.13,9.05,0.4866666666666667,0.2877777777777778,-0.6555555555555556,-0.0625,-0.25,-0.1875
1589551780.4868295,-0.07,-4.14,9.03,0.4933333333333334,0.2877777777777778,-0.6322222222222222,-0.125,0.0,-0.0625
1589551780.4957714,-0.07,-4.11,9.04,0.4933333333333334,0.2877777777777778,-0.6322222222222222,-0.1875,-0.0625,-0.125
1589551780.5049267,-0.07,-4.14,8.94,0.4933333333333334,0.2877777777777778,-0.6322222222222222,-0.25,-0.1875,-0.125
1589551780.5120769,-0.1,-4.12,8.96,0.4933333333333334,0.2877777777777778,-0.6322222222222222,-0.125,-0.1875,-0.125
1589551780.524436,-0.07,-4.15,9.03,0.4933333333333334,0.2877777777777778,-0.6322222222222222,-0.25,0.125,-0.1875
1589551780.5317366,-0.07,-4.13,9.06,0.4933333333333334,0.28,-0.6411111111111111,-0.25,0.0625,-0.1875
1589551780.5439925,-0.09,-4.15,9.01,0.4933333333333334,0.28,-0.6411111111111111,0.0,0.125,-0.0625
1589551780.5546114,-0.07,-4.12,8.97,0.4933333333333334,0.28,-0.6411111111111111,-0.0625,0.0625,0.0
1589551780.5620027,-0.07,-4.14,9.02,0.4933333333333334,0.28,-0.6411111111111111,-0.125,0.0625,-0.125
1589551780.575524,-0.08,-4.13,9.04,0.4933333333333334,0.28,-0.6411111111111111,-0.1875,0.0625,-0.125
1589551780.582484,-0.06,-4.13,9.03,0.5011111111111111,0.2733333333333333,-0.6555555555555556,-0.1875,-0.0625,-0.125
1589551780.592174,-0.08,-4.14,9.03,0.5011111111111111,0.2733333333333333,-0.6555555555555556,-0.25,0.0625,-0.0625
1589551780.6026173,-0.1,-4.15,8.92,0.5011111111111111,0.2733333333333333,-0.6555555555555556,-0.0625,0.25,-0.3125
1589551780.6148405,-0.1,-4.12,8.98,0.5011111111111111,0.2733333333333333,-0.6555555555555556,-0.0625,0.0625,-0.1875
