time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589552772.6606295,0.09,-4.17,8.93,0.4744444444444445,0.4066666666666667,-0.6311111111111111,0.75,5.0625,4.25
1589552772.6662016,0.1,-4.18,8.92,0.4744444444444445,0.4066666666666667,-0.6311111111111111,-0.625,-7.125,-2.25
1589552772.673411,0.13,-4.2,8.83,0.4744444444444445,0.4066666666666667,-0.6311111111111111,2.0,-3.5625,0.0
1589552772.683709,0.1,-4.2,8.79,0.4744444444444445,0.4066666666666667,-0.6311111111111111,3.625,0.9375,-0.75
1589552772.6955302,0.08,-4.19,8.82,0.4744444444444445,0.4066666666666667,-0.6311111111111111,9.3125,-1.0625,1.375
1589552772.7046766,0.07,-4.17,8.84,0.4888888888888889,0.4122222222222222,-0.6166666666666667,-1.125,0.4375,1.0
1589552772.7131102,0.11,-4.19,8.84,0.4888888888888889,0.4122222222222222,-0.6166666666666667,-1.375,1.8125,-3.5
1589552772.7260206,0.08,-4.19,8.8,0.4888888888888889,0.4122222222222222,-0.6166666666666667,4.125,-0.4375,-2.625
1589552772.7333298,0.1,-4.19,8.84,0.4888888888888889,0.4122222222222222,-0.6166666666666667,-1.5,-7.25,4.75
1589552772.7452838,0.11,-4.19,8.91,0.4888888888888889,0.4122222222222222,-0.6166666666666667,-5.75,-6.0625,-5.5
1589552772.753841,0.09,-4.2,8.95,0.4744444444444445,0.4066666666666667,-0.6166666666666667,2.0,2.4375,6.125
1589552772.7635512,0.1,-4.19,8.94,0.4744444444444445,0.4066666666666667,-0.6166666666666667,5.25,-1.0625,-1.75
1589552772.7739873,0.08,-4.2,8.86,0.4744444444444445,0.4066666666666667,-0.6166666666666667,0.25,10.0,3.125
1589552772.7840135,0.09,-4.18,8.84,0.4744444444444445,0.4066666666666667,-0.6166666666666667,-5.0,3.3125,1.75
1589552772.7961767,0.1,-4.2,8.88,0.4744444444444445,0.4066666666666667,-0.6166666666666667,5.75,-1.4375,4.125
1589552772.8077884,0.09,-4.2,8.88,0.4688888888888889,0.4066666666666667,-0.6233333333333333,1.625,-1.4375,-1.25
1589552772.813652,0.09,-4.18,8.92,0.4688888888888889,0.4066666666666667,-0.6233333333333333,-8.6875,-1.4375,-1.75
1589552772.8241026,0.08,-4.18,8.78,0.4688888888888889,0.4066666666666667,-0.6233333333333333,-3.75,-1.0625,-0.125
